x,y,z
354,240,1652
357,222,1809
357,222,1809
354,216,1817
354,216,1817
359,237,1550
361,231,1512
309,202,1551
309,202,1551
363,224,1502
364,225,1476
364,224,1463
309,193,1566
309,193,1566
367,220,1438
367,220,1438
367,220,1438
367,220,1438
367,220,1438
367,220,1438
367,220,1438
342,192,1792
342,192,1792
296,155,1441
296,155,1441
296,155,1441
296,155,1441
296,155,1441
356,192,1566
356,192,1566
356,192,1566
356,192,1566
356,192,1566
356,192,1566
356,192,1566
356,192,1566
311,193,1623
312,195,1614
343,123,1742
343,123,1742
343,123,1742
359,196,1460
359,196,1460
320,165,1689
320,165,1689
357,224,1459
357,224,1459
358,229,1497
358,229,1497
357,239,1572
357,239,1572
320,219,1702
318,220,1702
313,224,1694
313,224,1694
296,238,1736
296,238,1736
305,262,1736
306,265,1734
356,248,1689
356,248,1689
356,248,1689
356,248,1689
356,248,1689
328,293,1736
328,293,1736
328,291,1732
328,291,1732
309,156,1387
309,156,1387
339,140,1664
339,140,1664
317,262,1662
317,259,1667
309,142,1377
309,142,1377
322,236,1667
322,236,1667
315,133,1336
315,133,1336
315,133,1336
315,133,1336
315,133,1336
332,224,1703
335,219,1730
336,218,1739
342,137,1751
342,137,1751
342,137,1751
328,193,1645
328,192,1643
326,174,1534
326,174,1534
338,127,1565
338,127,1565
338,119,1657
338,119,1657
318,120,1523
318,120,1523
331,177,1271
331,177,1271
329,174,1395
329,174,1395
329,174,1356
328,175,1348
327,173,1390
327,173,1390
324,174,1496
324,175,1476
322,174,1495
322,173,1515
333,119,1565
333,119,1565
347,118,1639
347,118,1639
347,118,1639
347,118,1639
310,156,1358
310,156,1358
337,114,1775
337,114,1775
344,117,1690
344,117,1690
344,117,1690
306,157,1361
306,157,1361
307,157,1378
307,157,1378
309,157,1371
322,101,1569
322,101,1569
308,157,1378
310,157,1364
310,157,1364
311,175,1307
311,175,1307
309,193,1389
315,113,1518
315,113,1518
309,193,1404
305,121,1461
305,121,1461
351,165,1744
351,165,1744
305,121,1451
305,121,1451
305,121,1451
305,121,1451
305,121,1451
282,222,1348
282,222,1348
283,218,1323
281,220,1280
329,152,1791
329,152,1791
278,225,1249
278,225,1249
355,170,1772
355,170,1772
355,170,1772
290,218,1493
290,217,1491
276,223,1195
277,225,1250
280,223,1251
282,219,1235
281,215,1189
287,192,971
287,192,971
287,194,992
287,194,992
289,219,1497
287,220,1445
281,226,1372
286,203,1076
286,203,1076
286,203,1076
286,203,1076
286,203,1076
286,203,1076
303,211,1519
303,211,1519
277,223,1223
277,219,1163
278,217,1143
278,218,1181
277,220,1185
277,219,1168
276,217,1136
298,192,1703
298,192,1703
276,218,1147
305,124,1625
305,124,1625
276,215,1114
276,217,1129
276,220,1173
277,218,1158
277,216,1143
299,193,1688
299,193,1693
312,119,1868
275,218,1130
311,120,1801
276,217,1125
276,219,1150
276,221,1181
305,126,1569
305,126,1569
305,126,1569
305,126,1569
277,219,1176
309,121,1762
309,121,1762
275,220,1155
275,219,1133
275,216,1106
275,217,1128
275,216,1123
298,193,1687
298,193,1693
275,218,1130
275,215,1102
299,193,1688
298,193,1693
275,218,1124
274,216,1102
298,193,1687
276,218,1141
298,193,1693
276,217,1119
345,159,1762
345,159,1762
275,217,1129
275,221,1167
360,158,1911
360,158,1911
360,158,1911
360,158,1911
277,219,1168
298,193,1687
277,216,1148
299,193,1682
299,193,1688
274,217,1113
275,216,1105
275,217,1128
275,216,1116
299,193,1682
275,218,1124
299,193,1687
305,123,1664
305,123,1664
305,123,1664
299,193,1693
274,217,1102
274,217,1113
335,144,1746
335,144,1746
275,217,1119
306,124,1575
306,124,1575
309,119,1580
309,119,1580
308,120,1536
308,120,1536
349,159,1623
349,159,1623
355,163,1464
355,163,1464
355,163,1464
355,163,1464
300,193,1683
300,193,1683
275,218,1124
274,216,1100
284,201,826
284,201,826
284,201,826
284,201,826
284,201,826
284,201,826
284,201,826
284,201,826
284,201,826
284,201,826
284,201,826
302,157,1604
302,157,1604
302,158,1612
302,158,1612
305,127,1569
305,127,1569
305,127,1569
305,127,1569
307,157,1589
307,157,1589
311,157,1581
312,157,1581
310,219,1658
310,221,1664
305,226,1702
305,226,1702
290,238,1812
290,238,1812
311,157,1553
311,158,1570
312,156,1644
312,156,1644
299,264,1770
299,264,1770
304,292,1742
304,294,1740
315,157,1844
315,158,1824
314,157,1871
315,156,1898
315,157,1872
315,157,1878
297,321,1702
296,321,1698
314,157,1809
314,156,1837
296,320,1701
296,319,1710
296,290,1754
296,290,1754
320,157,1932
320,157,1914
322,158,2025
322,158,2025
310,262,1607
311,261,1590
337,237,1735
343,236,1754
353,237,1799
358,235,1796
332,230,1680
332,230,1680
331,223,1634
331,223,1634
362,223,1669
331,219,1654
331,217,1662
361,227,1364
361,224,1654
358,229,1699
358,229,1699
358,229,1699
358,229,1699
358,229,1699
358,229,1699
358,229,1699
358,229,1699
358,229,1699
358,229,1699
348,196,1691
348,196,1691
348,196,1691
348,196,1691
323,157,2040
322,157,2022
322,158,2002
322,158,2002
320,157,1989
321,156,2003
319,157,1988
